Input,MarDRe,NGSReadTreatment,ParDRe,FastUniq,BioSeqZip
984403,23.826495885849,96.38646602630615,20.592223167419434,9.07001805305481,13.40421438217163
1607156,49.452568769454956,152.75744771957397,30.561963319778442,31.89012837409973,25.007703065872192
1775561,109.63184690475464,196.00929260253906,88.40751647949219,43.57018232345581,66.57942509651184
1777597,51.31720685958862,170.0470426082611,31.5269615650177,25.088730335235596,14.374946117401123
1954201,123.37898778915405,227.96675729751587,94.8135118484497,49.01315999031067,52.99091935157776
2811096,130.36513376235962,310.8588721752167,142.87906002998352,58.067118406295776,105.58841466903687
2820667,112.2561023235321,289.8184320926666,74.08345580101013,45.84120464324951,51.72807717323303
2927916,93.55025458335876,278.7854588031769,66.56146359443665,37.7083158493042,44.46225571632385
2985511,109.77356886863708,310.283371925354,86.12902021408081,60.359357595443726,67.75930094718933
3516714,95.08443117141724,335.8094291687012,59.438239097595215,49.93529915809631,56.20560431480408
3791997,167.7338411808014,377.8193643093109,67.10236549377441,38.35210609436035,31.691775798797607
4000000,290.36827969551086,492.7645175457001,198.5478641986847,118.67791962623596,147.6628861427307
4528090,176.4321677684784,441.528608083725,78.88747119903564,47.01072955131531,39.103407859802246
7055348,137.13710856437683,691.4772627353668,64.35118675231934,55.328423261642456,63.50793504714966
7676057,327.6058418750763,871.4702949523926,202.73504209518433,115.0640766620636,175.59734845161438
11245229,732.3154859542847,1181.835322380066,519.1931040287018,221.27476358413696,228.89820408821106












